================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=abook, v=1, w=-0.22219690346368404, v*w=-0.22219690346368404
f=herkids, v=2, w=-0.12189362403790861, v*w=-0.24378724807581723
f=her, v=2, w=-0.17168634507104907, v*w=-0.34337269014209815
================================================================================
P: A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
H: An SUV and a man are going in opposite directions .
label=1, predicted=1, correct
f=aman, v=3, w=0.3694909235206067, v*w=1.10847277056182
f=manare, v=2, w=0.19321670149494694, v*w=0.38643340298989387
f=urban, v=1, w=0.24154801284278993, v*w=0.24154801284278993
f=manwalks, v=1, w=0.23143475348151807, v*w=0.23143475348151807
f=anurban, v=1, w=0.21373873445602745, v*w=0.21373873445602745
f=thestreet, v=1, w=0.2095821570306053, v*w=0.2095821570306053
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=goingin, v=2, w=0.10123812675992856, v*w=0.20247625351985712
f=constructionsite, v=1, w=0.20100943772929436, v*w=0.20100943772929436
f=walksdown, v=1, w=0.19499365971698776, v*w=0.19499365971698776
f=SUV, v=2, w=0.07777974390101128, v*w=0.15555948780202256
f=down, v=1, w=0.1430680845426947, v*w=0.1430680845426947
f=opposite, v=1, w=0.1305259402340532, v*w=0.1305259402340532
f=theother, v=1, w=0.10158729466452664, v*w=0.10158729466452664
f=anda, v=2, w=0.04042778075176625, v*w=0.0808555615035325
f=pastan, v=1, w=0.07313761223161377, v*w=0.07313761223161377
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=An, v=1, w=0.046622251142134835, v*w=0.046622251142134835
f=walks, v=1, w=0.04517211975823257, v*w=0.04517211975823257
f=site, v=1, w=0.04357378627324002, v*w=0.04357378627324002
f=direction, v=1, w=0.04210743508144087, v*w=0.04210743508144087
f=urbanconstruction, v=1, w=0.03383999926420038, v*w=0.03383999926420038
f=as, v=1, w=0.018693130192223305, v*w=0.018693130192223305
f=Ataxi, v=1, w=0, v*w=0
f=taxiSUV, v=1, w=0, v*w=0
f=SUVdrives, v=1, w=0, v*w=0
f=site,, v=1, w=0, v*w=0
f=otherdirection, v=1, w=0, v*w=0
f=AnSUV, v=2, w=0, v*w=0
f=SUVand, v=2, w=0, v*w=0
f=directions., v=2, w=0, v*w=0
f=streetin, v=1, w=-0.003953459608139461, v*w=-0.003953459608139461
f=street, v=1, w=-0.01097340605250252, v*w=-0.01097340605250252
f=taxi, v=1, w=-0.023286299509184944, v*w=-0.023286299509184944
f=a, v=2, w=-0.011701712985154124, v*w=-0.02340342597030825
f=inopposite, v=2, w=-0.013131252915242014, v*w=-0.026262505830484027
f=oppositedirections, v=2, w=-0.013131252915242014, v*w=-0.026262505830484027
f=an, v=1, w=-0.02926836810441059, v*w=-0.02926836810441059
f=,, v=1, w=-0.030906925089610418, v*w=-0.030906925089610418
f=direction., v=1, w=-0.03428033921475831, v*w=-0.03428033921475831
f=drivespast, v=1, w=-0.04290774420820043, v*w=-0.04290774420820043
f=directions, v=1, w=-0.043213274992599075, v*w=-0.043213274992599075
f=asa, v=1, w=-0.045037706053938906, v*w=-0.045037706053938906
f=drives, v=1, w=-0.058756261171516576, v*w=-0.058756261171516576
f=past, v=1, w=-0.062458888360473905, v*w=-0.062458888360473905
f=and, v=1, w=-0.11006926248016317, v*w=-0.11006926248016317
f=in, v=2, w=-0.06074218361209953, v*w=-0.12148436722419906
f=other, v=1, w=-0.13393960611552977, v*w=-0.13393960611552977
f=downthe, v=1, w=-0.15962812194496676, v*w=-0.15962812194496676
f=inthe, v=1, w=-0.19193677933993739, v*w=-0.19193677933993739
f=the, v=2, w=-0.09770075227601209, v*w=-0.19540150455202418
f=man, v=2, w=-0.12614135358548834, v*w=-0.25228270717097667
f=,as, v=1, w=-0.2913160697128494, v*w=-0.2913160697128494
f=are, v=1, w=-0.31831758180956937, v*w=-0.31831758180956937
f=going, v=1, w=-0.39373886370893935, v*w=-0.39373886370893935
f=construction, v=1, w=-0.3989732995736922, v*w=-0.3989732995736922
f=aregoing, v=2, w=-0.34965725641967105, v*w=-0.6993145128393421
================================================================================
P: The girl is paddling a rusty canoe in the water .
H: The girl is in the water .
label=1, predicted=1, correct
f=water., v=3, w=0.45513123324908406, v*w=1.3653936997472522
f=isin, v=2, w=0.3756943098644745, v*w=0.751388619728949
f=thewater, v=3, w=0.09613306098513509, v*w=0.2883991829554053
f=girl, v=2, w=0.117099028920347, v*w=0.234198057840694
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=paddling, v=1, w=0.12555948033183278, v*w=0.12555948033183278
f=canoe, v=1, w=0.08236268179864581, v*w=0.08236268179864581
f=paddlinga, v=1, w=0.03825799942924296, v*w=0.03825799942924296
f=canoein, v=1, w=0.02954814665061463, v*w=0.02954814665061463
f=ispaddling, v=1, w=0.02202439069099055, v*w=0.02202439069099055
f=rusty, v=1, w=0, v*w=0
f=arusty, v=1, w=0, v*w=0
f=rustycanoe, v=1, w=0, v*w=0
f=a, v=1, w=-0.011701712985154124, v*w=-0.011701712985154124
f=Thegirl, v=3, w=-0.013672782338045444, v*w=-0.04101834701413633
f=in, v=2, w=-0.06074218361209953, v*w=-0.12148436722419906
f=is, v=2, w=-0.08022818723333007, v*w=-0.16045637446666014
f=the, v=2, w=-0.09770075227601209, v*w=-0.19540150455202418
f=girlis, v=3, w=-0.11454576333278522, v*w=-0.3436372899983557
f=water, v=2, w=-0.212601125088848, v*w=-0.425202250177696
f=inthe, v=3, w=-0.19193677933993739, v*w=-0.5758103380198122
f=The, v=2, w=-0.3481867942037424, v*w=-0.6963735884074848
================================================================================
P: Two men in shorts hang out at the beach .
H: The two men are outside .
label=1, predicted=1, correct
f=areoutside, v=2, w=0.8801920593411179, v*w=1.7603841186822358
f=outside., v=2, w=0.49258921369273617, v*w=0.9851784273854723
f=two, v=1, w=0.38297211726441877, v*w=0.38297211726441877
f=beach, v=1, w=0.27732313655464175, v*w=0.27732313655464175
f=at, v=1, w=0.20611288115700632, v*w=0.20611288115700632
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=menare, v=2, w=0.07391985614253886, v*w=0.14783971228507772
f=menin, v=1, w=0.11947502064060647, v*w=0.11947502064060647
f=Twomen, v=1, w=0.11115270354877375, v*w=0.11115270354877375
f=thebeach, v=1, w=0.0622206866884398, v*w=0.0622206866884398
f=inshorts, v=1, w=0.03671425159821994, v*w=0.03671425159821994
f=Two, v=1, w=0.02848858642827832, v*w=0.02848858642827832
f=hang, v=1, w=0.00278902818681054, v*w=0.00278902818681054
f=shortshang, v=1, w=0, v*w=0
f=hangout, v=1, w=0, v*w=0
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=outside, v=1, w=-0.06103809240072443, v*w=-0.06103809240072443
f=outat, v=1, w=-0.07321307703904953, v*w=-0.07321307703904953
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=men, v=2, w=-0.05285530959913151, v*w=-0.10571061919826302
f=out, v=1, w=-0.12014475816493099, v*w=-0.12014475816493099
f=atthe, v=1, w=-0.1955033720155987, v*w=-0.1955033720155987
f=twomen, v=2, w=-0.09897944241863041, v*w=-0.19795888483726082
f=beach., v=1, w=-0.22868467551240254, v*w=-0.22868467551240254
f=shorts, v=1, w=-0.26160256366681484, v*w=-0.26160256366681484
f=are, v=1, w=-0.31831758180956937, v*w=-0.31831758180956937
f=The, v=1, w=-0.3481867942037424, v*w=-0.3481867942037424
f=Thetwo, v=2, w=-0.38482087303608353, v*w=-0.7696417460721671
================================================================================
P: A man in a black shirt sits next to an old woman in a pink shirt on a train .
H: A man is sitting next to a lady .
label=1, predicted=1, correct
f=nextto, v=3, w=0.39858083335620315, v*w=1.1957425000686095
f=Aman, v=3, w=0.3015943159097625, v*w=0.9047829477292875
f=issitting, v=2, w=0.44008958569957374, v*w=0.8801791713991475
f=alady, v=2, w=0.43214161097855086, v*w=0.8642832219571017
f=sits, v=1, w=0.38435253870554437, v*w=0.38435253870554437
f=anold, v=1, w=0.3720226616654629, v*w=0.3720226616654629
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=shirton, v=1, w=0.19172192839145866, v*w=0.19172192839145866
f=black, v=1, w=0.17528668409609616, v*w=0.17528668409609616
f=train, v=1, w=0.1432467701718579, v*w=0.1432467701718579
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=pink, v=1, w=0.10314624575472425, v*w=0.10314624575472425
f=blackshirt, v=1, w=0.08824720968093233, v*w=0.08824720968093233
f=toan, v=1, w=0.07053175674538201, v*w=0.07053175674538201
f=sitting, v=1, w=0.06163683019521975, v*w=0.06163683019521975
f=shirt, v=2, w=0.027588319442865928, v*w=0.055176638885731856
f=sitsnext, v=1, w=0.03992075561189496, v*w=0.03992075561189496
f=on, v=1, w=0.03874305830186252, v*w=0.03874305830186252
f=oldwoman, v=1, w=0.024422157639869605, v*w=0.024422157639869605
f=shirtsits, v=1, w=0.02310370431291293, v*w=0.02310370431291293
f=manin, v=1, w=0.010674032570895168, v*w=0.010674032570895168
f=atrain, v=1, w=0.007706707293229558, v*w=0.007706707293229558
f=lady, v=1, w=-0.010263857761051102, v*w=-0.010263857761051102
f=ona, v=1, w=-0.01745058575214073, v*w=-0.01745058575214073
f=apink, v=1, w=-0.0261152361184295, v*w=-0.0261152361184295
f=train., v=1, w=-0.028873821427128493, v*w=-0.028873821427128493
f=an, v=1, w=-0.02926836810441059, v*w=-0.02926836810441059
f=pinkshirt, v=1, w=-0.03640568693674734, v*w=-0.03640568693674734
f=manis, v=2, w=-0.01901372009237614, v*w=-0.03802744018475228
f=lady., v=2, w=-0.021211282837949784, v*w=-0.04242256567589957
f=a, v=4, w=-0.011701712985154124, v*w=-0.0468068519406165
f=woman, v=1, w=-0.051859699847804995, v*w=-0.051859699847804995
f=ina, v=2, w=-0.02836247441381286, v*w=-0.05672494882762572
f=womanin, v=1, w=-0.059237008712311065, v*w=-0.059237008712311065
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=in, v=2, w=-0.06074218361209953, v*w=-0.12148436722419906
f=ablack, v=1, w=-0.14763326133813656, v*w=-0.14763326133813656
f=next, v=2, w=-0.08205302034626026, v*w=-0.16410604069252052
f=old, v=1, w=-0.16420765856960928, v*w=-0.16420765856960928
f=man, v=2, w=-0.12614135358548834, v*w=-0.25228270717097667
f=toa, v=2, w=-0.15097708026039403, v*w=-0.30195416052078805
f=sittingnext, v=2, w=-0.17463936174399114, v*w=-0.3492787234879823
f=to, v=2, w=-0.36246978574793587, v*w=-0.7249395714958717
================================================================================
P: A person performing a snowboarding trick on a high mountain .
H: A man is beating his friend in a snowboarding race .
label=0, predicted=0, correct
f=Aman, v=2, w=0.3015943159097625, v*w=0.603188631819525
f=Aperson, v=1, w=0.44708812600032793, v*w=0.44708812600032793
f=trick, v=1, w=0.2624019636397166, v*w=0.2624019636397166
f=snowboarding, v=2, w=0.11755952224459747, v*w=0.23511904448919493
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=performing, v=1, w=0.11590900550997636, v*w=0.11590900550997636
f=performinga, v=1, w=0.041029266071792844, v*w=0.041029266071792844
f=on, v=1, w=0.03874305830186252, v*w=0.03874305830186252
f=mountain., v=1, w=0.0347407209534393, v*w=0.0347407209534393
f=trickon, v=1, w=0.019295515402731077, v*w=0.019295515402731077
f=ahigh, v=1, w=0.009021674165263102, v*w=0.009021674165263102
f=beating, v=1, w=0.00286523216323543, v*w=0.00286523216323543
f=snowboardingtrick, v=1, w=0, v*w=0
f=highmountain, v=1, w=0, v*w=0
f=beatinghis, v=2, w=0, v*w=0
f=snowboardingrace, v=2, w=0, v*w=0
f=ona, v=1, w=-0.01745058575214073, v*w=-0.01745058575214073
f=race, v=1, w=-0.034997665165277865, v*w=-0.034997665165277865
f=a, v=3, w=-0.011701712985154124, v*w=-0.03510513895546237
f=mountain, v=1, w=-0.03747166750765286, v*w=-0.03747166750765286
f=manis, v=2, w=-0.01901372009237614, v*w=-0.03802744018475228
f=person, v=1, w=-0.03977039741342671, v*w=-0.03977039741342671
f=friendin, v=2, w=-0.020389527597513304, v*w=-0.04077905519502661
f=ina, v=2, w=-0.02836247441381286, v*w=-0.05672494882762572
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=asnowboarding, v=3, w=-0.030828558972143916, v*w=-0.09248567691643175
f=personperforming, v=1, w=-0.09660711846035763, v*w=-0.09660711846035763
f=man, v=1, w=-0.12614135358548834, v*w=-0.12614135358548834
f=isbeating, v=2, w=-0.0906981601730521, v*w=-0.1813963203461042
f=his, v=1, w=-0.3167251037002287, v*w=-0.3167251037002287
f=friend, v=1, w=-0.3390731150924973, v*w=-0.3390731150924973
f=high, v=1, w=-0.33942095454142357, v*w=-0.33942095454142357
f=hisfriend, v=2, w=-0.17815971145179332, v*w=-0.35631942290358665
f=race., v=2, w=-0.25166167534727285, v*w=-0.5033233506945457
================================================================================
P: A biker wearing a white t-shirt is jumping over dirt hills .
H: A person jumps over hills with his bike .
label=1, predicted=1, correct
f=Aperson, v=2, w=0.44708812600032793, v*w=0.8941762520006559
f=bike., v=2, w=0.2173233345774497, v*w=0.4346466691548994
f=jumpsover, v=2, w=0.17482846190366114, v*w=0.3496569238073223
f=jumping, v=1, w=0.20426392508556976, v*w=0.20426392508556976
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=jumps, v=1, w=0.19464111113824847, v*w=0.19464111113824847
f=jumpingover, v=1, w=0.1333797384247585, v*w=0.1333797384247585
f=wearinga, v=1, w=0.1332806262808893, v*w=0.1332806262808893
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=t-shirtis, v=1, w=0.07302787247774113, v*w=0.07302787247774113
f=hills, v=2, w=0.02917768395200603, v*w=0.05835536790401206
f=hills., v=1, w=0.0428878867169485, v*w=0.0428878867169485
f=dirt, v=1, w=0.042261865301499175, v*w=0.042261865301499175
f=white, v=1, w=0.04097340906618573, v*w=0.04097340906618573
f=bikerwearing, v=1, w=0, v*w=0
f=overdirt, v=1, w=0, v*w=0
f=dirthills, v=1, w=0, v*w=0
f=personjumps, v=2, w=0, v*w=0
f=overhills, v=2, w=0, v*w=0
f=hillswith, v=2, w=0, v*w=0
f=with, v=1, w=-0.006383332049242026, v*w=-0.006383332049242026
f=a, v=1, w=-0.011701712985154124, v*w=-0.011701712985154124
f=isjumping, v=1, w=-0.024472571681973875, v*w=-0.024472571681973875
f=person, v=1, w=-0.03977039741342671, v*w=-0.03977039741342671
f=bike, v=1, w=-0.04304762152633949, v*w=-0.04304762152633949
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=wearing, v=1, w=-0.09904468457939075, v*w=-0.09904468457939075
f=whitet-shirt, v=1, w=-0.1687819528084701, v*w=-0.1687819528084701
f=awhite, v=1, w=-0.17638891564668596, v*w=-0.17638891564668596
f=Abiker, v=1, w=-0.17799433348258223, v*w=-0.17799433348258223
f=t-shirt, v=1, w=-0.19234827776990296, v*w=-0.19234827776990296
f=hisbike, v=2, w=-0.12038533669667917, v*w=-0.24077067339335834
f=his, v=1, w=-0.3167251037002287, v*w=-0.3167251037002287
f=biker, v=1, w=-0.33530533443082805, v*w=-0.33530533443082805
f=over, v=2, w=-0.18604385430516576, v*w=-0.3720877086103315
f=withhis, v=2, w=-0.28522138527721735, v*w=-0.5704427705544347
================================================================================
P: A float depicting religious imagery .
H: A float with icons .
label=1, predicted=1, correct
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=imagery, v=1, w=0.05323102382108512, v*w=0.05323102382108512
f=imagery., v=1, w=0.022248928067884362, v*w=0.022248928067884362
f=depicting, v=1, w=0.01725084322284853, v*w=0.01725084322284853
f=icons, v=1, w=0, v*w=0
f=Afloat, v=3, w=0, v*w=0
f=floatdepicting, v=1, w=0, v*w=0
f=depictingreligious, v=1, w=0, v*w=0
f=religiousimagery, v=1, w=0, v*w=0
f=floatwith, v=2, w=0, v*w=0
f=withicons, v=2, w=0, v*w=0
f=icons., v=2, w=0, v*w=0
f=with, v=1, w=-0.006383332049242026, v*w=-0.006383332049242026
f=religious, v=1, w=-0.02184733786031351, v*w=-0.02184733786031351
f=float, v=2, w=-0.08963363320333416, v*w=-0.17926726640666832
================================================================================
P: A man in yellow , white , and blue bicycle clothing and helmet grimaces as he rides his bicycle .
H: A man is riding a bicycle .
label=1, predicted=1, correct
f=Aman, v=3, w=0.3015943159097625, v*w=0.9047829477292875
f=abicycle, v=2, w=0.3429211827127717, v*w=0.6858423654255434
f=bicycle., v=3, w=0.17250128845494747, v*w=0.5175038653648424
f=isriding, v=2, w=0.14962944904974054, v*w=0.2992588980994811
f=rideshis, v=1, w=0.23178791631327209, v*w=0.23178791631327209
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=clothing, v=1, w=0.1901985073219589, v*w=0.1901985073219589
f=yellow,, v=1, w=0.17486502001907409, v*w=0.17486502001907409
f=,and, v=1, w=0.1609942246474133, v*w=0.1609942246474133
f=clothingand, v=1, w=0.13459307938415035, v*w=0.13459307938415035
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=blue, v=1, w=0.06962300637159316, v*w=0.06962300637159316
f=rides, v=1, w=0.06853991768686206, v*w=0.06853991768686206
f=yellow, v=1, w=0.06594440380112122, v*w=0.06594440380112122
f=white, v=1, w=0.04097340906618573, v*w=0.04097340906618573
f=as, v=1, w=0.018693130192223305, v*w=0.018693130192223305
f=manin, v=1, w=0.010674032570895168, v*w=0.010674032570895168
f=white,, v=1, w=0.005919505299971884, v*w=0.005919505299971884
f=grimaces, v=1, w=0, v*w=0
f=bluebicycle, v=1, w=0, v*w=0
f=bicycleclothing, v=1, w=0, v*w=0
f=helmetgrimaces, v=1, w=0, v*w=0
f=grimacesas, v=1, w=0, v*w=0
f=a, v=1, w=-0.011701712985154124, v*w=-0.011701712985154124
f=helmet, v=1, w=-0.017129164516110105, v*w=-0.017129164516110105
f=andblue, v=1, w=-0.030103569413500057, v*w=-0.030103569413500057
f=manis, v=2, w=-0.01901372009237614, v*w=-0.03802744018475228
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=,, v=2, w=-0.030906925089610418, v*w=-0.061813850179220836
f=ashe, v=1, w=-0.06392521909675562, v*w=-0.06392521909675562
f=riding, v=1, w=-0.06737949613655622, v*w=-0.06737949613655622
f=ridinga, v=2, w=-0.03825065996427339, v*w=-0.07650131992854678
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=,white, v=1, w=-0.11611694531941136, v*w=-0.11611694531941136
f=herides, v=1, w=-0.12404407963200838, v*w=-0.12404407963200838
f=andhelmet, v=1, w=-0.13904978253183717, v*w=-0.13904978253183717
f=bicycle, v=3, w=-0.06409225170994823, v*w=-0.19227675512984468
f=he, v=1, w=-0.20934437518299442, v*w=-0.20934437518299442
f=inyellow, v=1, w=-0.21182724431095748, v*w=-0.21182724431095748
f=and, v=2, w=-0.11006926248016317, v*w=-0.22013852496032635
f=man, v=2, w=-0.12614135358548834, v*w=-0.25228270717097667
f=hisbicycle, v=1, w=-0.2568298958888097, v*w=-0.2568298958888097
f=his, v=1, w=-0.3167251037002287, v*w=-0.3167251037002287
================================================================================
P: A group of girls ride an ATV .
H: Girls ride ATVs .
label=1, predicted=1, correct
f=ride, v=2, w=0.2019894635785785, v*w=0.403978927157157
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=ofgirls, v=1, w=0.1737274173114875, v*w=0.1737274173114875
f=girls, v=1, w=0.16882632764796815, v*w=0.16882632764796815
f=Agroup, v=1, w=0.12604373207623112, v*w=0.12604373207623112
f=Girls, v=1, w=0.09744894851452815, v*w=0.09744894851452815
f=girlsride, v=1, w=0.08400720356131493, v*w=0.08400720356131493
f=ATV, v=1, w=0.08042023004187888, v*w=0.08042023004187888
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=ATVs, v=1, w=0, v*w=0
f=ridean, v=1, w=0, v*w=0
f=ATV., v=1, w=0, v*w=0
f=Girlsride, v=2, w=0, v*w=0
f=rideATVs, v=2, w=0, v*w=0
f=ATVs., v=2, w=0, v*w=0
f=anATV, v=1, w=-0.005090519346899962, v*w=-0.005090519346899962
f=an, v=1, w=-0.02926836810441059, v*w=-0.02926836810441059
f=of, v=1, w=-0.03501471429522005, v*w=-0.03501471429522005
f=groupof, v=1, w=-0.084481681878757, v*w=-0.084481681878757
f=group, v=1, w=-0.13334229092316927, v*w=-0.13334229092316927
================================================================================
P: A schoolgirl wearing a white dress , blue-striped knee socks , a blue tie , and braids , smiles in front of a line of her classmates .
H: A line of schoolchildren preparing to board a bus after their field trip .
label=0, predicted=0, correct
f=line, v=2, w=0.13239109676325203, v*w=0.26478219352650406
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=smiles, v=1, w=0.1900488370762749, v*w=0.1900488370762749
f=Aline, v=2, w=0.09435898054164966, v*w=0.18871796108329933
f=,and, v=1, w=0.1609942246474133, v*w=0.1609942246474133
f=infront, v=1, w=0.1351727252661133, v*w=0.1351727252661133
f=wearinga, v=1, w=0.1332806262808893, v*w=0.1332806262808893
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=frontof, v=1, w=0.12182671192286125, v*w=0.12182671192286125
f=knee, v=1, w=0.10095329031130736, v*w=0.10095329031130736
f=herclassmates, v=1, w=0.09126470797779636, v*w=0.09126470797779636
f=blue, v=1, w=0.06962300637159316, v*w=0.06962300637159316
f=aline, v=1, w=0.055181922434514294, v*w=0.055181922434514294
f=,smiles, v=1, w=0.054311227751831746, v*w=0.054311227751831746
f=classmates, v=1, w=0.04660310092173819, v*w=0.04660310092173819
f=white, v=1, w=0.04097340906618573, v*w=0.04097340906618573
f=ofa, v=1, w=0.030120326391911135, v*w=0.030120326391911135
f=abus, v=2, w=0.013445143049556695, v*w=0.02689028609911339
f=dress, v=1, w=0.0235185713390277, v*w=0.0235185713390277
f=blue-striped, v=1, w=0, v*w=0
f=braids, v=1, w=0, v*w=0
f=schoolchildren, v=1, w=0, v*w=0
f=Aschoolgirl, v=1, w=0, v*w=0
f=schoolgirlwearing, v=1, w=0, v*w=0
f=,blue-striped, v=1, w=0, v*w=0
f=blue-stripedknee, v=1, w=0, v*w=0
f=kneesocks, v=1, w=0, v*w=0
f=socks,, v=1, w=0, v*w=0
f=bluetie, v=1, w=0, v*w=0
f=andbraids, v=1, w=0, v*w=0
f=braids,, v=1, w=0, v*w=0
f=classmates., v=1, w=0, v*w=0
f=ofschoolchildren, v=2, w=0, v*w=0
f=schoolchildrenpreparing, v=2, w=0, v*w=0
f=busafter, v=2, w=0, v*w=0
f=theirfield, v=2, w=0, v*w=0
f=boarda, v=2, w=-0.004349851578330357, v*w=-0.008699703156660714
f=tie,, v=1, w=-0.014298403968263885, v*w=-0.014298403968263885
f=schoolgirl, v=1, w=-0.019900601304419542, v*w=-0.019900601304419542
f=smilesin, v=1, w=-0.030218631535281183, v*w=-0.030218631535281183
f=tie, v=1, w=-0.030937280296663663, v*w=-0.030937280296663663
f=toboard, v=2, w=-0.019955027716407173, v*w=-0.03991005543281435
f=dress,, v=1, w=-0.04396507282683022, v*w=-0.04396507282683022
f=fieldtrip, v=2, w=-0.022407773708496455, v*w=-0.04481554741699291
f=ablue, v=1, w=-0.04495883604945878, v*w=-0.04495883604945878
f=a, v=4, w=-0.011701712985154124, v*w=-0.0468068519406165
f=their, v=1, w=-0.04873082102781623, v*w=-0.04873082102781623
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=aftertheir, v=2, w=-0.032832903051316045, v*w=-0.06566580610263209
f=bus, v=1, w=-0.07066009688423996, v*w=-0.07066009688423996
f=socks, v=1, w=-0.07902944994803603, v*w=-0.07902944994803603
f=preparing, v=1, w=-0.08020123592380346, v*w=-0.08020123592380346
f=wearing, v=1, w=-0.09904468457939075, v*w=-0.09904468457939075
f=of, v=3, w=-0.03501471429522005, v*w=-0.10504414288566016
f=and, v=1, w=-0.11006926248016317, v*w=-0.11006926248016317
f=,, v=4, w=-0.030906925089610418, v*w=-0.12362770035844167
f=field, v=1, w=-0.12394926748857031, v*w=-0.12394926748857031
f=,a, v=1, w=-0.1426137746476915, v*w=-0.1426137746476915
f=front, v=1, w=-0.15314372579521288, v*w=-0.15314372579521288
f=her, v=1, w=-0.17168634507104907, v*w=-0.17168634507104907
f=awhite, v=1, w=-0.17638891564668596, v*w=-0.17638891564668596
f=board, v=1, w=-0.21887312484667978, v*w=-0.21887312484667978
f=whitedress, v=1, w=-0.256918819907109, v*w=-0.256918819907109
f=preparingto, v=2, w=-0.1308096402792085, v*w=-0.261619280558417
f=trip, v=1, w=-0.2725974767968665, v*w=-0.2725974767968665
f=ofher, v=1, w=-0.30776644749681414, v*w=-0.30776644749681414
f=to, v=1, w=-0.36246978574793587, v*w=-0.36246978574793587
f=trip., v=2, w=-0.19144864892356686, v*w=-0.3828972978471337
f=after, v=1, w=-0.38758176544614464, v*w=-0.38758176544614464
f=lineof, v=3, w=-0.1353653801824374, v*w=-0.40609614054731225
================================================================================
P: A boy plays in the surf .
H: The boy is wearing red trunks .
label=0, predicted=1, wrong
f=wearingred, v=2, w=0.3520073743299067, v*w=0.7040147486598134
f=iswearing, v=2, w=0.299175224648374, v*w=0.598350449296748
f=boy, v=2, w=0.14430464474217822, v*w=0.28860928948435643
f=redtrunks, v=2, w=0.13939103393937285, v*w=0.2787820678787457
f=surf., v=1, w=0.21135238799382022, v*w=0.21135238799382022
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=trunks, v=1, w=0.16411468778988683, v*w=0.16411468778988683
f=Theboy, v=2, w=0.08165723493934265, v*w=0.1633144698786853
f=red, v=1, w=0.1407803540658754, v*w=0.1407803540658754
f=thesurf, v=1, w=0.10539485905091409, v*w=0.10539485905091409
f=boyplays, v=1, w=0.10275831121228962, v*w=0.10275831121228962
f=boyis, v=2, w=0.04924235201266616, v*w=0.09848470402533233
f=trunks., v=2, w=0.038630722470076234, v*w=0.07726144494015247
f=surf, v=1, w=0.06708801205667494, v*w=0.06708801205667494
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=Aboy, v=1, w=-0.010809643811468761, v*w=-0.010809643811468761
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=wearing, v=1, w=-0.09904468457939075, v*w=-0.09904468457939075
f=plays, v=1, w=-0.16828948867737525, v*w=-0.16828948867737525
f=inthe, v=1, w=-0.19193677933993739, v*w=-0.19193677933993739
f=playsin, v=1, w=-0.19705409010297328, v*w=-0.19705409010297328
f=The, v=1, w=-0.3481867942037424, v*w=-0.3481867942037424
================================================================================
P: A man is sitting outside next to fruit .
H: A man takes a break next to his freshly picked fruit .
label=0, predicted=1, wrong
f=nextto, v=3, w=0.39858083335620315, v*w=1.1957425000686095
f=Aman, v=3, w=0.3015943159097625, v*w=0.9047829477292875
f=issitting, v=1, w=0.44008958569957374, v*w=0.44008958569957374
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=takes, v=1, w=0.0863863823538714, v*w=0.0863863823538714
f=abreak, v=2, w=0.032846978467030746, v*w=0.06569395693406149
f=sitting, v=1, w=0.06163683019521975, v*w=0.06163683019521975
